Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product/66VCHSJNUP,211,0,170.0,187.85525950710877,19.76975700000594,784.9230800000129,8169.270142180095,1.1796688821658967,0.0,170,190,210,240,290,370,600,620,780,780,780
GET,/product/6E92ZMYYFZ,234,0,160.0,181.3698840341885,14.363947999981974,860.5854359999512,8163.858974358975,1.3082583811697621,0.0,160,180,210,230,290,450,600,610,860,860,860
GET,/product/9SIQT8TOJO,244,0,160.0,181.5020560040988,16.098819999996294,854.0909300000408,8217.905737704918,1.3641668589975298,0.0,160,190,200,230,290,370,680,700,850,850,850
GET,/product/L9ECAV7KIM,265,0,150.0,168.09876674339588,15.016177000006792,915.1538409999915,8182.2905660377355,1.4815746624358417,0.0,150,180,200,220,270,330,460,610,920,920,920
GET,/product/LS4PSXUNUM,224,0,160.0,166.64661281696422,17.014082000002873,608.3891610000052,8180.763392857143,1.2523499033419945,0.0,160,180,200,220,270,310,400,590,610,610,610
GET,/product/OLJCESPC7Z,244,0,160.0,184.2173839549169,15.952083999991373,857.2508759999664,8206.389344262296,1.3641668589975298,0.0,160,190,210,240,290,390,590,610,860,860,860
POST,/setCurrency,330,0,210.0,255.73474276666659,20.995424999995294,1513.2724790000084,10907.21515151515,1.8449797683163314,0.0,210,260,300,320,410,580,1100,1200,1500,1500,1500
,Aggregated,3794,0,170.0,210.2350408924615,13.783197000009295,1830.807041,10472.876647337902,21.211676487855033,0.0,170,200,240,270,330,470,850,1100,1700,1800,1800
GET,/,248,0,290.0,555.3901919838709,19.532789000010098,1619.6736950000031,10885.258064516129,1.3875204029965131,0.0,300,690,1000,1100,1400,1400,1600,1600,1600,1600,1600
GET,/cart,464,0,150.0,165.56667182758645,14.033562000008715,555.7811609999987,12824.890086206897,2.596005915283799,0.0,160,180,200,220,270,320,400,420,560,560,560
POST,/cart,500,0,200.0,231.57691984200002,21.79971900000055,998.4278469999879,17683.708,2.79742016733168,0.0,200,280,290,300,390,460,620,810,1000,1000,1000
POST,/cart/checkout,180,2,120.0,156.97967688333347,22.645350999994207,614.1936070000042,6968.644444444444,1.0070712602394047,0.01118968066932672,120,190,200,200,290,300,480,500,610,610,610
GET,/product/0PUK6V6EV0,241,0,160.0,169.8746229917003,13.97815599997898,793.523050999994,8188.44398340249,1.3483565206538697,0.0,160,190,210,240,290,320,380,490,790,790,790
GET,/product/1YMWWN1N4O,235,0,160.0,164.90818940425643,15.317025999991074,751.6480320000056,8209.902127659574,1.3147874786458895,0.0,160,180,200,220,270,350,490,520,750,750,750
GET,/product/2ZYFJ3GM2N,238,0,160.0,181.36347376050492,15.281482000006008,781.5222670000139,8207.180672268907,1.3315719996498796,0.0,160,180,200,240,300,370,570,680,780,780,780
GET,/product/66VCHSJNUP,248,0,170.0,179.36206494758005,14.520602999994026,693.7844119999994,8170.326612903225,1.3875204029965131,0.0,170,200,230,250,280,340,500,510,690,690,690
GET,/product/6E92ZMYYFZ,233,0,140.0,161.2963193433478,15.586702000007335,678.0353469999909,8157.484978540772,1.3035977979765627,0.0,140,170,190,200,270,330,480,580,680,680,680
GET,/product/9SIQT8TOJO,237,0,140.0,160.95795197890297,16.3220860000024,652.813966999986,8215.907172995781,1.3259771593152163,0.0,140,180,190,210,250,310,480,490,650,650,650
GET,/product/L9ECAV7KIM,224,0,150.0,176.130371107142,15.047139999978754,794.9864689999941,8178.165178571428,1.2532442349645925,0.0,150,180,200,240,280,370,590,690,790,790,790
GET,/product/LS4PSXUNUM,233,0,160.0,176.15865337339218,15.63988100002689,701.2009090000078,8177.437768240344,1.3035977979765627,0.0,160,180,200,230,270,370,500,600,700,700,700
GET,/product/OLJCESPC7Z,238,0,150.0,172.45764064705816,15.0639269999715,794.3350670000058,8211.932773109243,1.3315719996498796,0.0,150,180,200,220,280,300,510,600,790,790,790
POST,/setCurrency,319,0,210.0,255.62236226332269,19.923090000020238,1615.8639199999952,10913.931034482759,1.7847540667576118,0.0,210,270,300,340,400,610,980,1100,1600,1600,1600
